inventory_id,nsn,mpn,cage_code,part_name,category_section,quantity,uom,storage_location,unit_price,total_value,condition,photo_url
INV-HMMWV-00154,2910-01-447-3911,12460105,12436,". TANK, FUEL, ENGINE",Engine / Fuel,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00155,4730-01-119-6895,272NTA-8-6,12436,".TEE,PIPE TO TUBE",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00156,5340-01-186-9606,12338568,12436,"BAND, RETAINING",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00157,5305-00-068-0510,B1821BHO38C100N,12436,"SCREW,CAP,HEXAGON H 3/8-16 X 1.00",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00158,2510-01-444-3360,12460143,12436,"SHIELD, SAFETY, FUEL",Body / Armor,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00159,5310-00-637-9541,MS35338-46,96906,"WASHER, LOCK 1/4",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00160,5310-00-080-6004,MS27183-14,96906,"WASHER, FLAT 3/8",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00161,5310-00-167-0893,12341718,12436,"WASHER, FLAT",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00162,5310-00-761-0654,MS51967-9,96906,"NUT,PLAIN,HEXAGON 3/8-16",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00163,5306-01-411-2338,12460145-1,12436,"BOLT,MACHINE",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00164,5305-01-412-5995,12460145-2,12436,"SCREW, CAP, HEXAGON H",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00165,5340-01-408-5851,6000300,12436,"BAND, RETAINING",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00166,5340-01-191-0748,12338571,12436,"BAND, RETAINING",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00167,5330-01-187-5148,12338557-2,12436,RUBBER STRIP,Seals / Gaskets,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00168,5340-01-191-0746,5582412,12436,"BAND, RETAINING",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00169,5340-01-190-5100,12338574,12436,"STRAP, RETAINING",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00170,5340-01-193-0251,12338575,12436,"BRACKET, ANGLE",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00171,5330-01-186-7757,12338557-1,12436,RUBBER STRIP,Seals / Gaskets,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00172,5342-01-246-1120,41945,12436,"CAP,FILLER OPENING",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00173,2590-01-188-3267,12338580,12436,FILLER NECK,Suspension,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00174,5325-01-194-0562,12339296,12436,". GROMMET, NONMETALLIC",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00175,4730-01-311-4294,12342096,12436,". STRAINER ELEMENT,SE",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00176,4730-00-278-3828,A34,12436,"ELBOW,PIPE TO TUBE",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00177,5975-01-211-3142,SB-750-625-2840,12436,"BUSHING,ELECTRICAL",Electrical,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00178,4730-00-909-8627,36HSS,12436,"CLAMP, HOSE",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00179,4720-01-212-8269,12338551-2,12436,"HOSE, NONMETALLIC",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
